url,classification,canonical_declared,canonical_count,self_referencing,canonical_status,canonical_classification
https://5sigmas.com/series/ia-pib-bienestar-energia/00_presentacion_serie/,INDEX,https://5sigmas.com/series/ia-pib-bienestar-energia/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,INDEX,https://5sigmas.com/series/ia-pib-bienestar-energia/01-electricidad-bienestar/,1,True,200,INDEX
https://5sigmas.com/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,INDEX,https://5sigmas.com/series/ia-pib-bienestar-energia/02-ia-tecnologia-electrica/,1,True,200,INDEX
https://5sigmas.com/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,INDEX,https://5sigmas.com/series/ia-pib-bienestar-energia/03-pib-vs-bienestar/,1,True,200,INDEX
https://5sigmas.com/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,INDEX,https://5sigmas.com/series/ia-pib-bienestar-energia/04-ia-pib-hoy/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/00_presentacion_serie/,INDEX,https://5sigmas.com/series/modelos-razonadores/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/01-que-es-razonar/,INDEX,https://5sigmas.com/series/modelos-razonadores/01-que-es-razonar/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/02-fallos/,INDEX,https://5sigmas.com/series/modelos-razonadores/02-fallos/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/03-test-time-compute/,INDEX,https://5sigmas.com/series/modelos-razonadores/03-test-time-compute/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/04-latencia-streaming/,INDEX,https://5sigmas.com/series/modelos-razonadores/04-latencia-streaming/,1,True,200,INDEX
https://5sigmas.com/series/modelos-razonadores/05-riesgos/,INDEX,https://5sigmas.com/series/modelos-razonadores/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/00_presentacion_serie/,INDEX,https://5sigmas.com/series/multimodalidad-iag/00_presentacion_serie/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/01-el-problema/,INDEX,https://5sigmas.com/series/multimodalidad-iag/01-el-problema/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/02-alineamiento/,INDEX,https://5sigmas.com/series/multimodalidad-iag/02-alineamiento/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/03-arquitecturas/,INDEX,https://5sigmas.com/series/multimodalidad-iag/03-arquitecturas/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/04-evaluacion/,INDEX,https://5sigmas.com/series/multimodalidad-iag/04-evaluacion/,1,True,200,INDEX
https://5sigmas.com/series/multimodalidad-iag/05-riesgos/,INDEX,https://5sigmas.com/series/multimodalidad-iag/05-riesgos/,1,True,200,INDEX
https://5sigmas.com/series/seguridad-ia/00_presentacion_serie/,INDEX,https://5sigmas.com/series/seguridad-ia/00_presentacion_serie/,1,True,200,INDEX
